CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1488,EDUC,0597,INET,GDL,Special Topics in Literacy,3,01/12/2026,TBA,null,null,TBA,TBA,Schmidt,100,100
1489,EDUC,0597,INET,GDL,Special Topics in Literacy,6,01/12/2026,TBA,null,null,TBA,TBA,TBA,100,100
1490,EDUC,0602,INET,GDL,Intro High Incidence Except..,3,01/12/2026,TBA,null,null,TBA,TBA,Rice,15,15
1491,EDUC,0604,INET,GDL,Introduction to Counseling,3,03/09/2026,TBA,null,null,TBA,TBA,Mitchell,20,20
1492,EDUC,0607,INET,GDL,Leadership Capstone,3,01/12/2026,TBA,null,null,TBA,TBA,Durborow,15,15
1493,EDUC,0630,INET,GDL,Assessment of Student Learning,3,03/09/2026,TBA,null,null,TBA,TBA,Landburg,15,15
1494,EDUC,0630,INET,GDL,Assessment of Student Learning,3,03/09/2026,TBA,null,null,TBA,TBA,Marion,15,15
1495,EDUC,0630,INET,GDL,Assessment of Student Learning,3,03/09/2026,TBA,null,null,TBA,TBA,Weaver,15,15
1496,EDUC,0630,INET,GDL,Assessment of Student Learning,3,03/09/2026,TBA,null,null,TBA,TBA,Yoakam,15,15
1497,EDUC,0632,INET,GDL,Critical Issues,1,01/12/2026,TBA,null,null,TBA,TBA,Schisler,30,30
1498,EDUC,0634,INET,GDL,Law Ethics & Policy K12,3,01/12/2026,TBA,null,null,TBA,TBA,Mitchell,20,20
1499,EDUC,0645,INET,GDL,Tch Met & Inst Strat Subj Area,3,03/09/2026,TBA,null,null,TBA,TBA,Van Otterloo,15,15
1500,EDUC,0650,INET,GDL,Research Design,3,01/12/2026,TBA,null,null,TBA,TBA,Foister,12,12
1501,EDUC,0650,INET,GDL,Research Design,3,01/12/2026,TBA,null,null,TBA,TBA,Grab,12,12
1502,EDUC,0650,INET,GDL,Research Design,3,01/12/2026,TBA,null,null,TBA,TBA,Schisler,12,12
1503,EDUC,0650,INET,GDL,Research Design,3,01/12/2026,TBA,null,null,TBA,TBA,Van Otterloo,12,12
1504,EDUC,0650,INET,GDL,Research Design,3,01/12/2026,TBA,null,null,TBA,TBA,Young,12,12
2025,EDUC,0662,INDV,GLF,Student Teaching InternshipMAT,9,01/12/2026,TBA,null,null,TBA,TBA,Gubera,10,10
2026,EDUC,0662,INDV,GLF,Student Teaching InternshipMAT,9,01/12/2026,TBA,null,null,TBA,TBA,Harter,10,10
2080,EDUC,0662,INDV,GLF,Student Teaching InternshipMAT,9,01/12/2026,TBA,null,null,ONLINE,TBA,Schisler,10,10
1938,EH,0107,TRAD,CLS,Environmental Science,3,01/12/2026,"M,W,F",1200,1250,REYNLD,235,Perkins,30,30
1940,EH,0107,INET,DLR,Environmental Science,3,01/12/2026,TBA,null,null,ONLINE,TBA,Edwards,30,30
1941,EH,0298,INET,DLR,OSHA 24 HAZWOPER Training,1,01/12/2026,TBA,null,null,ONLINE,TBA,Perkins,30,30
1942,EH,0311,INET,DLR,Soils for Env. Health & Safety,2,01/12/2026,TBA,null,null,ONLINE,TBA,Perkins,30,30
1943,EH,0312,TRAD,CLS,Environmental Biology,3,01/12/2026,"M,W,F",1100,1150,REYNLD,235,Boman,15,15
1945,EH,0370,INET,DLR,Environmental Health & Safety,3,01/12/2026,TBA,null,null,ONLINE,TBA,Newcomb,10,10
1946,EH,0371,TRAD,CLS,Environmental Toxicology,3,01/12/2026,"M,W,F",0900,0950,REYNLD,235,Boman,15,15
1948,EH,0372,TRAD,CLS,Environmental Regulations,3,01/12/2026,"M,W,F",1000,1050,REYNLD,235,Perkins,30,30
1949,EH,0379,INET,DLR,Career Planning for EH&Safety,1,01/12/2026,TBA,null,null,ONLINE,TBA,Boman,30,30
1951,EH,0380,INET,DLR,Epidemiology,3,01/12/2026,TBA,null,null,ONLINE,TBA,Welicky,10,10
1952,EH,0404,TRAD,CLS,App in Geographic Info Systems,3,01/12/2026,"T,R",1100,1215,REYNLD,107,Kilmer,9,9
1953,EH,0410,INET,DLR,Hazardous Incident Management,2,03/09/2026,TBA,null,null,ONLINE,TBA,Perkins,30,30
1955,EH,0411,INET,DLR,Hazardous Material Safety,2,01/12/2026,TBA,null,null,ONLINE,TBA,Boman,30,30
1957,EH,0481,INET,DLR,Environ Risk Safety Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Perkins,30,30
1035,ENG,0080,HYBD,CMB,Basic Composition,3,01/12/2026,"M,W",0900,0950,KUHN,210,Gates,25,25
1036,ENG,0080,HYBD,CMB,Basic Composition,3,01/12/2026,"M,W",1000,1050,KUHN,210,Gates,25,25
1038,ENG,0101,TRAD,CLS,College Composition I (WI),3,01/12/2026,"M,W,F",1100,1150,KUHN,101,Kuhn,25,25
1039,ENG,0101,HYBD,CMB,College Composition I (WI),3,01/12/2026,"M,W",1000,1050,KUHN,201,Casey,24,24
1040,ENG,0101,HYBD,CMB,College Composition I (WI),3,01/12/2026,"M,W",1200,1250,KUHN,201,Casey,25,25
1041,ENG,0101,TRAD,CLS,College Composition I (WI),3,01/12/2026,"M,W,F",1300,1350,KUHN,101,Kuhn,25,25
1042,ENG,0101,INET,DLR,College Comp I-Food & Culture,3,01/12/2026,TBA,null,null,TBA,TBA,McGunigal,25,25
1043,ENG,0101,INET,DLR,College Comp I-Food & Culture,3,01/12/2026,TBA,null,null,TBA,TBA,McGunigal,25,25
