CRN,Subject,Course,INSM Code,Schedule Code,Description,Hrs,Start Date,Days,Begin,End,Building,Room,Instructor,Available Seats,Total Seats
1513,HS,0112,INET,DLR,Intro ECG Interpretation,1,01/12/2026,TBA,null,null,TBA,TBA,Walker,40,40
1227,HS,0305,TRAD,CLS,Intercultural Communication,3,01/12/2026,"T,R",0930,1045,WEBSTR,111,Kim,22,22
1229,HS,0305,INET,DLR,Intercultural Communication,3,01/12/2026,TBA,null,null,ONLINE,TBA,Mehrens,22,22
1840,HS,0312,INET,DLR,Biomedical Ethics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Hunt,20,20
1841,HS,0312,INET,DLR,Biomedical Ethics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Hunt,20,20
1842,HS,0312,INET,DLR,Biomedical Ethics,3,01/12/2026,TBA,null,null,ONLINE,TBA,Hunt,20,20
2024,HS,0315,INET,DLR,Mgd Care/Population Health,2,01/12/2026,TBA,null,null,TBA,TBA,TBA,40,40
1556,HS,0350,HYBD,CMB,Fund of Organizational Mgmt,3,03/09/2026,"T,R",0800,0915,PLASTR,102,TBA,10,10
1560,HS,0350,INET,DLR,Fund of Organizational Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,10,10
1564,HS,0350,INET,DLR,Fund of Organizational Mgmt,3,01/12/2026,TBA,null,null,ONLINE,TBA,Myers,10,10
